Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
R128,68,Thomas Johansson[SWE] [yr|ev],d.,66,Nicolas Massu[CHI] [yr|ev],2-6 7-6(3) 6-3 6-3,1.23,11.5%,51.0%,69.8%,66.7%,3/7,8.7%,55.7%,68.8%,51.0%,5/10,2:43,7
R128,70,Jose Acasuso[ARG] [yr|ev],d.,73,Martin Vassallo Arguello[ARG] [yr|ev],6-4 6-7(2) 6-3 6-4,3.10,22.5%,90.0%,88.9%,25.0%,0/0,17.1%,94.3%,48.5%,0.0%,2/6,0:09,20
R128,5,(5)Andy Roddick[USA] [yr|ev],d.,475,Justin Gimelstob[USA] [yr|ev],7-6(6) 6-3 6-3,1.61,19.8%,76.7%,87.9%,50.0%,2/2,8.4%,61.1%,70.7%,59.5%,2/5,1:58,1
R128,4,(4)Nikolay Davydenko[RUS] [yr|ev],d.,485,(WC)Jesse Levine[CAN] [yr|ev],6-4 6-0 6-1,1.89,7.4%,66.2%,80.0%,56.5%,5/5,4.6%,58.6%,51.0%,41.7%,7/14,1:39,3
R128,187,Nicolas Kiefer[GER] [yr|ev],d.,62,Vincent Spadea[USA] [yr|ev],6-2 7-6(1) 6-3,1.83,15.0%,53.8%,86.0%,64.9%,0/1,0.0%,60.6%,61.7%,48.7%,8/12,1:56,4
R128,85,Luis Horna[PER] [yr|ev],d.,90,Peter Luczak[AUS] [yr|ev],7-6(4) 6-3 7-6(6),1.36,11.8%,69.6%,80.3%,61.3%,2/3,9.6%,68.7%,74.7%,44.4%,6/8,2:14,33
R128,28,(28)Nicolas Almagro[ESP] [yr|ev],d.,186,(WC)Alex Kuznetsov[USA] [yr|ev],6-4 6-0 7-6(4),1.66,15.6%,64.9%,86.0%,70.4%,1/1,9.5%,51.4%,81.6%,52.8%,2/6,1:36,9
R128,19,(19)Andy Murray[GBR] [yr|ev],d.,129,(Q)Pablo Cuevas[URU] [yr|ev],6-2 6-3 6-0,1.59,7.7%,51.3%,77.5%,52.6%,6/7,1.3%,43.6%,50.0%,40.9%,10/17,1:42,1
R128,55,Jonas Bjorkman[SWE] [yr|ev],d.,132,Juan Pablo Guzman[ARG] [yr|ev],6-3 7-6(4) 6-2,1.51,9.7%,58.1%,81.5%,64.1%,7/7,8.4%,55.8%,75.5%,42.9%,5/8,1:56,4
R128,43,Hyung Taik Lee[KOR] [yr|ev],d.,36,Dominik Hrbaty[SVK] [yr|ev],6-7(4) 6-4 7-5 6-7(6) 6-4,1.06,6.6%,59.9%,68.8%,42.5%,8/16,6.3%,57.8%,64.9%,43.2%,12/23,3:58,36
R128,14,(14)Guillermo Canas[ARG] [yr|ev],d.,109,Ruben Ramirez Hidalgo[ESP] [yr|ev],6-3 4-6 7-5 6-3,1.36,5.4%,57.1%,78.1%,56.3%,5/9,7.2%,52.0%,67.7%,46.7%,7/14,3:15,8
R128,10,(10)Tommy Haas[GER] [yr|ev],d.,137,(Q)Steve Darcis[BEL] [yr|ev],6-7(5) 7-5 6-3 6-4,1.15,11.0%,59.1%,84.0%,65.4%,4/5,6.1%,64.9%,82.4%,55.0%,1/5,2:33,2
R128,290,(Q)Philipp Petzschner[GER] [yr|ev],d.,50,Benjamin Becker[GER] [yr|ev],2-6 3-6 6-4 6-4 6-1,1.22,15.9%,58.7%,78.4%,53.8%,5/9,4.3%,47.5%,78.8%,45.2%,8/13,2:41,N/A
R128,78,Sebastien Grosjean[FRA] [yr|ev],d.,97,Paul Goldstein[USA] [yr|ev],6-1 4-1 RET,3.84,17.9%,42.9%,100.0%,75.0%,0/0,2.0%,56.9%,51.7%,36.4%,7/11,0:45,4
R128,106,Max Mirnyi[BLR] [yr|ev],d.,18,(18)Marcos Baghdatis[CYP] [yr|ev],6-3 7-5 3-6 7-6(6),1.02,10.8%,57.4%,78.8%,49.2%,8/10,1.4%,39.4%,82.1%,54.7%,4/7,3:21,18
R128,59,Michael Llodra[FRA] [yr|ev],d.,29,(29)Filippo Volandri[ITA] [yr|ev],6-3 4-6 6-4 6-4,1.14,6.4%,57.6%,76.4%,52.8%,10/13,0.8%,70.0%,65.5%,52.8%,8/13,2:34,21
R128,63,Stefan Koubek[AUT] [yr|ev],d.,48,Sam Querrey[USA] [yr|ev],7-6(1) 6-1 6-1,1.96,10.3%,61.5%,83.3%,66.7%,7/7,7.3%,61.0%,66.0%,37.5%,2/7,1:22,20
R128,44,Fabrice Santoro[FRA] [yr|ev],d.,46,Albert Montanes[ESP] [yr|ev],6-1 6-7(8) 6-2 6-1,2.13,17.8%,64.4%,84.6%,69.4%,4/5,2.6%,73.9%,58.8%,46.7%,8/15,2:31,17
R128,6,(6)James Blake[USA] [yr|ev],d.,65,Michael Russell[USA] [yr|ev],7-6(6) 6-3 7-6(4),1.16,11.5%,67.2%,72.0%,55.0%,2/3,3.9%,59.4%,69.7%,48.1%,11/13,2:41,4
R128,8,(8)Tommy Robredo[ESP] [yr|ev],d.,114,(LL)Bobby Reynolds[USA] [yr|ev],6-3 7-6(5) 6-1,1.22,4.9%,69.6%,71.8%,67.7%,9/9,9.3%,61.3%,65.2%,62.1%,0/3,1:59,5
R128,40,Mardy Fish[USA] [yr|ev],d.,181,(Q)Bruno Echagaray[MEX] [yr|ev],6-4 6-1 6-2,1.97,17.4%,50.7%,85.7%,61.8%,2/3,5.3%,63.2%,56.3%,35.7%,7/13,1:35,7
R128,84,Michael Berrer[GER] [yr|ev],d.,248,(Q)Michal Przysiezny[POL] [yr|ev],6-1 4-6 6-1 7-6(4),1.29,8.1%,61.3%,72.1%,51.2%,5/8,8.2%,61.0%,61.9%,40.3%,19/26,3:14,42
R128,88,Ernests Gulbis[LAT] [yr|ev],d.,31,(30)Potito Starace[ITA] [yr|ev],7-5 7-6(4) 6-3,1.36,16.8%,59.4%,83.3%,58.5%,4/5,2.9%,62.7%,68.8%,55.3%,3/6,1:57,10
R128,17,(17)Carlos Moya[ESP] [yr|ev],d.,150,(Q)Bjorn Phau[GER] [yr|ev],6-1 6-2 6-4,1.57,8.9%,69.6%,76.4%,58.3%,3/3,5.6%,38.9%,64.3%,47.7%,4/9,1:29,1
