Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
R64,6,(5)Stefanos Tsitsipas[GRE] [yr|ev],d.,267,(WC)Thanasi Kokkinakis[AUS] [yr|ev],6-7(5) 6-4 6-1 6-7(5) 6-4,1.50,11.6%,63.3%,86.0%,55.6%,3/3,11.1%,62.3%,72.1%,46.2%,17/22,4:32,3
R64,95,Mikael Ymer[SWE] [yr|ev],d.,141,(Q)Carlos Alcaraz[ESP] [yr|ev],2-6 6-4 6-4 7-6(5),1.03,1.5%,66.7%,63.6%,43.2%,7/15,5.3%,62.4%,62.7%,44.0%,10/18,3:08,50
R64,20,(19)Karen Khachanov[RUS] [yr|ev],d.,73,Ricardas Berankis[LTU] [yr|ev],6-2 6-4 6-4,1.84,15.6%,66.2%,76.5%,76.9%,2/2,3.7%,62.4%,63.2%,46.3%,10/14,1:57,8
R64,10,(9)Matteo Berrettini[ITA] [yr|ev],d.,199,(Q)Tomas Machac[CZE] [yr|ev],6-3 6-2 4-6 6-3,1.35,16.2%,66.7%,78.2%,48.7%,12/13,7.4%,63.9%,57.7%,56.8%,4/9,2:39,6
R64,17,(16)Fabio Fognini[ITA] [yr|ev],d.,78,Salvatore Caruso[ITA] [yr|ev],4-6 6-2 2-6 6-3 7-6(12),1.14,3.4%,54.7%,77.8%,59.7%,4/7,6.8%,55.1%,72.8%,56.1%,10/13,3:56,9
R64,23,(21)Alex De Minaur[AUS] [yr|ev],d.,72,Pablo Cuevas[URU] [yr|ev],6-3 6-3 7-5,1.56,1.2%,59.3%,86.3%,51.4%,2/3,8.9%,67.3%,66.2%,36.4%,9/14,1:59,6
R64,69,Cameron Norrie[GBR] [yr|ev],d.,183,(Q)Roman Safiullin[RUS] [yr|ev],3-6 7-5 6-3 7-6(3),1.15,5.9%,70.6%,71.9%,45.0%,6/11,3.3%,59.9%,67.0%,45.9%,14/20,3:31,8
R64,2,(2)Rafael Nadal[ESP] [yr|ev],d.,177,(Q)Michael Mmoh[USA] [yr|ev],6-1 6-4 6-2,2.08,10.4%,76.1%,84.3%,56.3%,0/0,11.0%,63.0%,58.7%,44.4%,6/11,1:47,1
R128,1,(1)Novak Djokovic[SRB] [yr|ev],d.,61,Jeremy Chardy[FRA] [yr|ev],6-3 6-1 6-2,3.17,15.8%,75.4%,86.0%,78.6%,0/0,3.5%,59.3%,58.8%,37.1%,7/13,1:31,1
R128,64,Frances Tiafoe[USA] [yr|ev],d.,60,Stefano Travaglia[ITA] [yr|ev],7-6(5) 6-2 6-2,1.29,6.9%,54.0%,74.5%,45.0%,4/8,9.6%,67.5%,58.9%,29.6%,4/12,1:51,10
R128,38,Reilly Opelka[USA] [yr|ev],d.,1009,Yen Hsun Lu[TPE] [yr|ev],6-3 7-6(2) 6-3,1.78,21.4%,63.1%,84.9%,67.7%,1/2,3.3%,70.7%,66.2%,51.9%,5/8,1:55,17
R128,31,(27)Taylor Fritz[USA] [yr|ev],d.,46,Albert Ramos[ESP] [yr|ev],7-6(6) 3-6 6-2 7-6(6),1.07,7.7%,56.6%,72.8%,51.6%,11/14,4.2%,66.2%,64.9%,54.2%,6/10,3:23,4
R128,18,(17)Stan Wawrinka[SUI] [yr|ev],d.,107,Pedro Sousa[POR] [yr|ev],6-3 6-2 6-4,1.87,9.5%,55.4%,87.8%,63.6%,0/0,2.2%,59.3%,64.8%,45.9%,9/13,1:36,3
R128,55,Marton Fucsovics[HUN] [yr|ev],d.,126,(WC)Marc Polmans[AUS] [yr|ev],4-6 6-3 6-1 6-7(3) 6-3,1.29,4.6%,63.6%,68.8%,56.4%,9/14,1.9%,65.0%,58.7%,44.6%,15/24,4:12,31
R128,71,Corentin Moutet[FRA] [yr|ev],d.,39,John Millman[AUS] [yr|ev],6-4 6-7(4) 3-6 6-2 6-3,1.08,0.7%,79.1%,62.4%,61.3%,3/7,1.9%,63.6%,65.3%,48.2%,6/13,3:45,51
R128,14,(14)Milos Raonic[CAN] [yr|ev],d.,92,Federico Coria[ARG] [yr|ev],6-3 6-3 6-2,2.42,24.3%,67.1%,85.1%,73.9%,2/2,2.0%,68.4%,59.7%,45.2%,11/16,1:35,3
R128,86,Emil Ruusuvuori[FIN] [yr|ev],d.,11,(10)Gael Monfils[FRA] [yr|ev],3-6 6-4 7-5 3-6 6-3,1.05,2.1%,69.7%,67.6%,42.4%,17/23,8.0%,63.0%,63.7%,48.3%,7/13,3:46,37
R128,87,Pedro Martinez[ESP] [yr|ev],d.,58,Yoshihito Nishioka[JPN] [yr|ev],6-7(3) 6-1 6-1 6-1,1.48,6.9%,69.3%,70.0%,51.6%,8/11,3.4%,56.0%,49.2%,45.1%,10/21,2:39,36
R128,45,Alexander Bublik[KAZ] [yr|ev],d.,57,Aljaz Bedene[SLO] [yr|ev],6-4 7-5 5-7 6-4,0.91,30.1%,65.4%,74.2%,51.1%,6/9,12.8%,63.2%,74.3%,60.5%,4/9,2:36,17
R128,27,(23)Dusan Lajovic[SRB] [yr|ev],d.,200,(Q)Sergiy Stakhovsky[UKR] [yr|ev],5-7 6-4 6-3 5-7 6-4,1.08,4.1%,71.6%,67.0%,59.5%,6/11,6.5%,57.7%,68.0%,53.5%,10/17,3:24,23
R128,36,(32)Adrian Mannarino[FRA] [yr|ev],d.,98,Dennis Novak[AUT] [yr|ev],6-2 6-4 7-6(2),1.44,4.3%,48.9%,84.8%,56.3%,6/8,4.3%,68.8%,65.6%,37.9%,3/8,2:21,17
R128,41,Miomir Kecmanovic[SRB] [yr|ev],d.,109,Kamil Majchrzak[POL] [yr|ev],6-2 6-4 6-3,1.60,10.3%,67.9%,79.2%,60.0%,3/3,7.4%,68.4%,63.1%,43.3%,4/9,1:44,27
R128,172,(Q)Maxime Cressy[USA] [yr|ev],d.,118,(LL)Taro Daniel[JPN] [yr|ev],7-6(1) 7-6(3) 6-4,1.92,28.6%,64.8%,88.1%,65.6%,0/1,3.1%,64.3%,74.7%,39.1%,6/8,2:27,31
R128,7,(6)Alexander Zverev[GER] [yr|ev],d.,75,Marcos Giron[USA] [yr|ev],6-7(8) 7-6(5) 6-3 6-2,1.78,14.4%,69.4%,87.0%,58.8%,2/4,4.3%,58.7%,77.8%,38.6%,9/15,2:42,2
R128,3,(3)Dominic Thiem[AUT] [yr|ev],d.,90,Mikhail Kukushkin[KAZ] [yr|ev],7-6(2) 6-2 6-3,1.67,1.3%,62.7%,74.5%,60.7%,1/4,3.1%,59.1%,54.7%,40.4%,13/20,2:40,3
R128,70,Dominik Koepfer[GER] [yr|ev],d.,112,(LL)Hugo Dellien[BOL] [yr|ev],7-5 6-2 6-4,1.66,10.1%,64.6%,82.4%,60.7%,1/2,3.0%,67.0%,65.7%,42.4%,6/11,1:44,49
R128,47,Nick Kyrgios[AUS] [yr|ev],d.,185,(Q)Frederico Ferreira Silva[POR] [yr|ev],6-4 6-4 6-4,2.04,20.3%,79.7%,83.6%,57.1%,0/2,4.3%,68.7%,60.8%,44.4%,12/17,1:59,13
R128,34,(29)Ugo Humbert[FRA] [yr|ev],d.,106,Yasutaka Uchiyama[JPN] [yr|ev],6-3 6-4 6-7(3) 6-3,1.36,11.5%,67.2%,80.5%,65.0%,6/6,7.5%,63.3%,69.7%,61.4%,8/11,2:46,13
R128,21,(18)Grigor Dimitrov[BUL] [yr|ev],d.,43,Marin Cilic[CRO] [yr|ev],6-4 6-2 7-6(5),1.35,20.9%,69.2%,82.5%,53.6%,3/4,4.3%,58.1%,77.8%,46.2%,6/10,2:08,3
R128,166,(WC)Alex Bolt[AUS] [yr|ev],d.,89,Norbert Gombos[SVK] [yr|ev],6-2 6-2 4-6 6-3,1.31,10.4%,63.2%,74.6%,56.4%,0/2,6.0%,72.6%,61.2%,50.0%,12/18,2:14,125
R128,68,Jiri Vesely[CZE] [yr|ev],d.,178,(Q)Kimmer Coppejans[BEL] [yr|ev],6-4 3-6 6-7(3) 6-3 6-3,1.14,15.2%,69.0%,72.0%,55.6%,6/9,11.3%,67.9%,68.5%,49.0%,7/13,3:28,35
R128,16,(15)Pablo Carreno Busta[ESP] [yr|ev],d.,42,Kei Nishikori[JPN] [yr|ev],7-5 7-6(4) 6-2,1.18,11.0%,71.6%,73.1%,48.4%,8/11,2.9%,66.7%,63.2%,52.9%,5/11,2:23,10
R128,12,(11)Denis Shapovalov[CAN] [yr|ev],d.,32,Jannik Sinner[ITA] [yr|ev],3-6 6-3 6-2 4-6 6-4,1.04,7.6%,63.1%,74.7%,48.3%,17/20,2.8%,70.3%,66.7%,55.8%,5/10,3:55,10
R128,233,(Q)Bernard Tomic[AUS] [yr|ev],d.,104,Yuichi Sugita[JPN] [yr|ev],3-6 6-1 4-1 RET,1.11,13.3%,64.0%,79.2%,33.3%,6/7,9.2%,53.8%,71.4%,43.3%,3/7,1:26,17
R128,105,James Duckworth[AUS] [yr|ev],d.,120,(LL)Damir Dzumhur[BIH] [yr|ev],6-3 6-2 6-4,1.42,7.4%,59.3%,70.8%,60.6%,1/3,3.4%,62.9%,67.9%,27.3%,9/15,1:40,46
R128,19,(20)Felix Auger Aliassime[CAN] [yr|ev],d.,129,(LL)Cedrik Marcel Stebe[GER] [yr|ev],6-2 6-4 6-2,1.84,10.1%,71.0%,75.5%,70.0%,0/1,2.7%,68.0%,62.7%,29.2%,3/9,1:40,6
R128,79,Egor Gerasimov[BLR] [yr|ev],d.,29,(25)Benoit Paire[FRA] [yr|ev],6-2 2-6 7-6(5) 7-5,1.07,3.1%,60.0%,61.5%,46.9%,14/21,13.8%,53.9%,65.9%,37.1%,15/23,3:12,65
R128,114,(Q)Aslan Karatsev[RUS] [yr|ev],d.,96,Gianluca Mager[ITA] [yr|ev],6-3 6-3 6-4,2.03,15.9%,60.9%,88.1%,63.0%,1/2,7.0%,64.0%,65.5%,38.7%,6/11,1:38,14
R128,210,(LL)Alexandre Muller[FRA] [yr|ev],d.,83,Juan Ignacio Londero[ARG] [yr|ev],4-6 6-3 6-0 6-3,1.35,6.6%,69.2%,69.8%,46.4%,0/4,0.0%,58.5%,55.6%,41.2%,2/11,2:30,39
R128,9,(8)Diego Schwartzman[ARG] [yr|ev],d.,205,(Q)Elias Ymer[SWE] [yr|ev],7-6(3) 6-4 2-6 6-2,1.08,0.8%,68.2%,59.1%,53.7%,11/18,4.3%,58.3%,61.2%,43.8%,5/13,3:07,8
R128,8,(7)Andrey Rublev[RUS] [yr|ev],d.,102,Yannick Hanfmann[GER] [yr|ev],6-3 6-3 6-4,1.41,22.1%,67.5%,78.8%,48.0%,3/4,6.5%,71.0%,57.9%,51.6%,8/13,1:42,5
R128,74,Thiago Monteiro[BRA] [yr|ev],d.,103,Andrej Martin[SVK] [yr|ev],7-6(6) 6-1 6-2,1.46,8.2%,68.2%,69.0%,74.1%,2/3,7.1%,66.7%,55.4%,60.7%,3/8,1:52,61
R128,65,Feliciano Lopez[ESP] [yr|ev],d.,,(WC)Li Tu[AUS] [yr|ev],6-7(1) 6-4 7-6(4) 6-4,1.11,16.2%,47.7%,87.1%,60.3%,2/4,14.6%,60.0%,71.8%,67.3%,2/6,2:46,12
R128,35,(31)Lorenzo Sonego[ITA] [yr|ev],d.,52,Sam Querrey[USA] [yr|ev],7-5 6-4 6-4,1.26,10.9%,58.4%,78.0%,61.9%,2/2,10.3%,52.6%,78.4%,47.8%,7/10,2:11,21
