Player,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,M,PeakRank
Feliciano Lopez,0.8186,0.16685,35.45,0.12450000000000001,13.4,0.054200000000000005,0.5628,0.7784,0.48769999999999997,0.65055,18.6,0.5906,0.33745,22.15,0.3464,0.49485,0.978,48.0,12.0
Felipe Meligeni Alves,0.8440000000000001,0.152,24.0,0.109,6.0,0.027000000000000003,0.6829999999999999,0.735,0.486,0.6559999999999999,19.0,0.737,0.361,21.0,0.23800000000000002,0.51,1.05,2.0,128.0
Felix Auger Aliassime,0.7212857142857142,0.13842857142857143,28.142857142857142,0.09171428571428572,14.857142857142858,0.07942857142857143,0.6188571428571429,0.7054285714285714,0.4454285714285714,0.6064285714285714,16.857142857142858,0.592,0.35700000000000004,19.0,0.2855714285714286,0.47814285714285715,0.9357142857142857,16.0,6.0
Felix Mantilla,0.6355000000000001,0.15575,4.75,0.0315,4.5,0.0395,0.57775,0.66075,0.445,0.57075,11.25,0.45000000000000007,0.31525000000000003,7.0,0.36125,0.44575000000000004,0.73,5.0,10.0
Fernando Gonzalez,0.8131818181818182,0.16945454545454544,27.636363636363637,0.08209090909090909,15.818181818181818,0.05390909090909091,0.5790909090909091,0.7444545454545455,0.5173636363636364,0.6487272727272727,20.818181818181817,0.6158181818181818,0.3366363636363637,22.0,0.33781818181818185,0.4944545454545455,0.9681818181818183,29.0,5.0
Fernando Meligeni,0.7263333333333334,0.22966666666666669,8.666666666666666,0.04133333333333333,11.0,0.05466666666666667,0.5506666666666667,0.7276666666666666,0.4643333333333333,0.6076666666666667,20.666666666666668,0.5663333333333334,0.36633333333333334,20.333333333333332,0.40900000000000003,0.48533333333333334,0.94,5.0,25.0
Fernando Verdasco,0.8062222222222223,0.21394444444444444,23.166666666666668,0.07866666666666668,16.444444444444443,0.05344444444444444,0.6455,0.7221666666666667,0.513,0.6468888888888888,22.0,0.5771666666666666,0.37383333333333335,26.333333333333332,0.4026666666666667,0.5072222222222222,1.0666666666666667,48.0,7.0
Fernando Vicente,0.7108000000000001,0.10999999999999999,8.4,0.040400000000000005,7.0,0.04,0.5694,0.6692,0.458,0.5758,18.2,0.6448,0.3198,12.6,0.263,0.45619999999999994,0.77,8.0,29.0
Filip Krajinovic,0.6768571428571429,0.2312857142857143,8.571428571428571,0.05157142857142857,6.0,0.03828571428571429,0.5934285714285714,0.705,0.4228571428571429,0.5907142857142856,15.285714285714286,0.5072857142857143,0.3735714285714286,13.857142857142858,0.4201428571428571,0.48200000000000004,0.9285714285714286,10.0,26.0
Filippo Volandri,0.60575,0.108625,1.5,0.011625,6.625,0.06375,0.58025,0.621,0.44837499999999997,0.5465,11.875,0.440625,0.29825,7.125,0.24012500000000003,0.42625,0.6775,9.0,25.0
Flavio Cipolla,0.6415,0.26749999999999996,2.25,0.009250000000000001,14.75,0.05850000000000001,0.6585,0.5905,0.499,0.56,25.25,0.4565,0.401,27.75,0.386,0.47925,0.915,8.0,70.0
Flavio Cobolli,0.7879999999999999,0.264,21.0,0.06,15.0,0.043,0.48700000000000004,0.7190000000000001,0.506,0.61,33.0,0.667,0.39399999999999996,31.0,0.452,0.504,1.01,3.0,30.0
Flavio Saretta,0.61975,0.16649999999999998,10.0,0.06475,8.25,0.0545,0.5835,0.67425,0.436,0.5700000000000001,17.75,0.608,0.35975,13.75,0.33825000000000005,0.46225000000000005,0.865,6.0,44.0
Florent Serra,0.7475,0.135625,7.125,0.038875,4.75,0.0265,0.605375,0.6755,0.527875,0.615375,15.75,0.616,0.3175,10.875,0.292625,0.47300000000000003,0.855,13.0,36.0
Florian Mayer,0.662,0.16333333333333333,7.083333333333333,0.047749999999999994,4.583333333333333,0.03283333333333333,0.5908333333333333,0.6435833333333333,0.45608333333333334,0.5651666666666667,14.166666666666666,0.4985833333333334,0.32766666666666666,12.333333333333334,0.3150833333333333,0.45008333333333334,0.7933333333333334,19.0,18.0
Frances Tiafoe,0.7961,0.2141,33.2,0.0752,11.8,0.0332,0.5875,0.7357,0.5133,0.6439999999999999,27.6,0.5896,0.3657,33.9,0.4197,0.5057,1.0379999999999998,32.0,10.0
Francisco Cerundolo,0.6996666666666668,0.25933333333333336,12.666666666666666,0.04800000000000001,10.666666666666666,0.04633333333333334,0.6036666666666667,0.6816666666666666,0.4553333333333333,0.5893333333333334,19.666666666666668,0.5723333333333334,0.379,17.0,0.6133333333333334,0.4876666666666667,0.9433333333333334,5.0,19.0
Francisco Clavet,0.6566666666666666,0.237,4.0,0.032,5.0,0.041666666666666664,0.5576666666666666,0.6326666666666667,0.501,0.5763333333333334,12.666666666666666,0.5236666666666666,0.35600000000000004,10.333333333333334,0.48533333333333334,0.4706666666666666,0.8533333333333334,3.0,18.0
Francisco Comesana,0.8,0.185,24.0,0.069,16.0,0.046,0.5820000000000001,0.757,0.47600000000000003,0.64,26.0,0.5770000000000001,0.35700000000000004,24.0,0.41700000000000004,0.503,0.99,3.0,61.0
