median_matches,player_name,current_rank,peak_rank,tour-years_A%,tour-years_DF%,tour-years_1stIn,tour-years_1st%,tour-years_2nd%,winners-errors_Wnr/Pt,winners-errors_UFE/Pt,winners-errors_FH Wnr/Pt,winners-errors_BH Wnr/Pt,serve-speed_1st Avg,serve-speed_1st T Avg,serve-speed_1st Wide Avg,serve-speed_2nd Avg,serve-speed_2nd T Avg,serve-speed_2nd Wide Avg,pbp-stats_Deuce A%,pbp-stats_Deuce SPW%,pbp-stats_Ad A%,pbp-stats_Ad SPW%,pbp-stats_Deuce RPW%,pbp-stats_Ad RPW%,mcp-serve_Percent of points won when return was put in play,mcp-serve_1st: Unret%,mcp-serve_Percent of first serve points won on either the serve or second shot,mcp-serve_Percentage of first serve points won when return was put in play,mcp-serve_D Wide%,mcp-serve_A Wide%,mcp-serve_2nd: Unret%,mcp-serve_Percent of second serve points won on either the serve or second shot,mcp-serve_Percentage of second serve points won when return was put in play,mcp-serve_2ndAgg,mcp-return_RiP%,mcp-return_Percent of points won when return was put in play,mcp-return_Return Depth Index (higher = deeper),mcp-return_Slice/chip returns as a percentage of all in-play first-serve returns,mcp-return_Return winners (and induced forced errors) as a percentage of second-serve return points,mcp-rally_RallyLen,mcp-rally_1-3 W%,mcp-rally_4-6 W%,mcp-rally_7-9 W%,mcp-rally_10+ W%,mcp-rally_FH/GS,mcp-rally_BH Slice%,mcp-rally_FHP/100,mcp-rally_BHP/100,mcp-tactics_SnV Freq,mcp-tactics_SnV W%,mcp-tactics_Net Freq,mcp-tactics_Net W%,mcp-tactics_FH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line forehand,mcp-tactics_IO Wnr%,mcp-tactics_BH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line backhand,mcp-tactics_Drop: Freq,mcp-tactics_Winners (and induced forced errors) per (baseline) dropshot,mcp-tactics_RallyAgg,mcp-tactics_ReturnAgg
3,Nigina Abduraimova,654,144,5.6%,8.9%,55.9%,64.9%,41.4%,10.2%,31.0%,4.5%,4.8%,N/A,N/A,N/A,N/A,N/A,N/A,4.5%,59.6%,4.3%,57.2%,44.1%,45.0%,37.2%,23.1%,25.9%,36.1%,60.6%,9.5%,17.3%,22.7%,38.7%,37,77.2%,46.5%,2.36,8.6%,9.4%,4.1,43.8%,42.3%,46.7%,36.7%,49.2%,14.4%,-1.1,-10.1,0.5%,0.0%,13.5%,58.0%,6.6%,9.7%,0.0%,6.3%,13.1%,0.2%,0.0%,13,34
2,Sofya Lansere,716,200,2.4%,4.8%,62.7%,55.7%,56.4%,15.6%,14.1%,10.3%,4.1%,N/A,N/A,N/A,N/A,N/A,N/A,1.5%,53.5%,1.0%,51.3%,47.7%,48.3%,50.7%,23.6%,29.1%,42.9%,100.0%,42.9%,22.9%,25.7%,63.0%,47,79.3%,59.1%,2.43,4.9%,0.0%,5.0,51.1%,51.5%,63.2%,56.3%,49.7%,4.5%,8.9,2.2,0.0%,-,6.8%,78.6%,12.0%,22.9%,60.0%,5.2%,33.3%,1.1%,0.0%,-80,-59
2,Alexis Blokhina,718,566,N/A,N/A,N/A,N/A,N/A,9.8%,16.0%,6.0%,3.7%,N/A,N/A,N/A,N/A,N/A,N/A,1.6%,57.4%,0.0%,57.9%,28.1%,48.0%,53.1%,17.4%,19.8%,53.5%,0.0%,61.1%,7.4%,14.8%,52.0%,-47,83.2%,44.9%,2.49,15.5%,12.5%,4.9,42.7%,45.6%,60.7%,61.5%,49.7%,8.3%,7.9,4.6,0.0%,-,4.9%,72.7%,10.1%,15.2%,5.0%,10.4%,17.6%,0.2%,0.0%,-50,-45
1,Ashley Kratzer,718,200,4.3%,8.6%,63.6%,55.6%,31.6%,11.8%,26.9%,9.5%,3.6%,N/A,N/A,N/A,N/A,N/A,N/A,3.4%,55.1%,3.2%,57.6%,42.3%,43.0%,28.9%,14.7%,29.4%,27.6%,0.0%,25.0%,25.0%,33.3%,33.3%,97,66.7%,43.3%,2.25,10.3%,18.2%,3.3,34.9%,40.9%,16.7%,50.0%,51.7%,21.1%,-7.5,-3.3,0.0%,-,9.5%,66.7%,16.3%,11.8%,16.7%,3.3%,0.0%,1.7%,0.0%,102,72
1,Josy Daems,747,730,N/A,N/A,N/A,N/A,N/A,7.3%,41.7%,5.5%,2.2%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,33.3%,0.0%,26.1%,42.3%,43.5%,25.6%,11.5%,15.4%,30.4%,53.8%,25.0%,5.9%,5.9%,18.8%,-64,77.6%,52.6%,2.78,0.0%,33.3%,5.5,30.4%,41.2%,43.8%,41.2%,41.0%,14.3%,0.0,-13.1,0.0%,-,5.2%,80.0%,5.9%,28.6%,7.7%,5.1%,16.7%,0.0%,-,42,35
1,Ya Yi Yang,751,203,2.1%,6.9%,66.0%,57.8%,39.2%,11.0%,28.3%,6.0%,5.2%,N/A,N/A,N/A,N/A,N/A,N/A,1.5%,52.2%,0.0%,46.9%,32.3%,38.2%,42.3%,18.8%,31.3%,43.6%,57.1%,0.0%,23.5%,35.3%,38.5%,-37,44.3%,55.6%,2.38,7.7%,7.4%,3.2,41.7%,50.0%,12.5%,40.0%,50.0%,3.7%,4.4,-9.0,0.0%,-,7.1%,44.4%,15.5%,21.4%,0.0%,9.2%,27.3%,1.2%,0.0%,145,107
2,Jing Jing Lu,751,159,1.8%,6.1%,57.3%,57.4%,41.4%,11.6%,24.7%,9.2%,2.1%,N/A,N/A,N/A,N/A,N/A,N/A,1.4%,52.6%,1.3%,51.0%,46.6%,48.8%,29.1%,15.0%,20.0%,23.5%,26.1%,38.1%,20.5%,29.5%,37.1%,80,70.3%,59.0%,2.54,2.0%,8.7%,3.8,44.3%,37.3%,50.0%,36.8%,60.1%,11.6%,3.2,-13.3,0.0%,-,7.6%,52.9%,11.5%,25.0%,16.7%,3.2%,15.4%,0.3%,100.0%,27,15
2,Valeria Savinykh,756,99,2.0%,4.7%,61.4%,59.0%,42.0%,12.1%,20.4%,1.1%,0.9%,,,,,,,1.8%,53.1%,1.0%,55.6%,45.5%,45.1%,53.4%,20.9%,23.1%,61.1%,5.9%,15.0%,16.2%,16.2%,35.5%,40,75.9%,53.7%,2.40,23.6%,5.9%,5.0,45.9%,58.1%,57.8%,44.2%,46.9%,13.1%,6.9,0.5,0.0%,-,9.2%,74.1%,9.1%,26.5%,0.0%,4.5%,27.8%,0.2%,0.0%,-82,-65
1,Milana Zhabrailova,774,538,N/A,N/A,N/A,N/A,N/A,6.3%,18.0%,2.1%,,N/A,N/A,N/A,N/A,N/A,N/A,3.3%,56.7%,14.8%,55.6%,17.2%,36.0%,36.4%,48.6%,51.4%,26.3%,37.5%,25.0%,12.5%,18.8%,50.0%,-4,64.8%,34.3%,2.28,10.5%,5.0%,3.2,45.1%,34.6%,50.0%,0.0%,56.0%,8.5%,-12.1,-1.9,0.0%,-,3.6%,50.0%,3.9%,0.0%,0.0%,5.7%,0.0%,1.5%,0.0%,-72,11
1,Lena Rueffer,810,250,2.7%,4.5%,65.6%,60.5%,42.9%,3.4%,12.5%,2.5%,0.8%,N/A,N/A,N/A,N/A,N/A,N/A,3.3%,55.8%,3.2%,56.6%,40.4%,42.6%,54.5%,25.9%,31.8%,58.7%,26.7%,18.8%,19.4%,25.8%,44.0%,-31,66.0%,44.3%,2.75,0.0%,3.0%,3.8,50.6%,38.2%,53.6%,55.0%,47.1%,94.0%,1.7,0.0,0.0%,-,3.0%,75.0%,10.3%,11.6%,0.0%,0.0%,0.0%,1.5%,16.7%,-128,-89
1,Tess Sugnaux,814,413,5.5%,4.7%,53.9%,58.0%,30.5%,9.5%,33.7%,3.6%,4.8%,N/A,N/A,N/A,N/A,N/A,N/A,3.6%,56.6%,2.7%,55.7%,45.6%,45.7%,33.9%,10.8%,16.2%,42.4%,0.0%,6.7%,8.0%,8.0%,21.7%,-39,58.6%,35.3%,2.26,13.3%,22.2%,5.9,27.8%,28.6%,45.5%,45.0%,59.5%,15.3%,-8.2,1.4,0.0%,-,2.1%,100.0%,5.6%,19.0%,0.0%,7.8%,50.0%,0.8%,50.0%,-39,-47
6,Aravane Rezai,816,15,3.7%,6.9%,57.3%,64.4%,43.8%,15.8%,23.6%,4.7%,3.3%,96.5,,,79.1,,,2.0%,55.8%,1.1%,51.9%,38.2%,39.0%,41.3%,31.7%,43.3%,50.0%,44.7%,17.3%,13.3%,14.4%,32.1%,7,57.0%,56.8%,2.35,0.0%,25.4%,3.2,43.0%,44.9%,67.6%,59.1%,56.3%,4.0%,4.8,3.6,0.0%,-,5.0%,63.6%,12.1%,17.2%,0.0%,16.4%,19.3%,0.0%,-,58,61
1,Sarah Iliev,818,550,0.0%,3.8%,56.6%,53.3%,26.1%,12.2%,21.7%,6.4%,6.4%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,40.7%,0.0%,42.3%,31.3%,53.3%,38.3%,10.0%,26.7%,48.1%,25.0%,66.7%,4.8%,4.8%,25.0%,-69,82.3%,45.1%,2.48,11.1%,4.2%,4.5,41.5%,39.5%,53.8%,36.4%,54.8%,28.6%,-4.1,0.7,0.0%,-,6.1%,85.7%,9.3%,7.1%,50.0%,7.3%,0.0%,5.1%,36.4%,-12,-36
8,Ysaline Bonaventure,825,81,2.5%,8.3%,60.8%,61.1%,43.4%,10.3%,20.5%,6.1%,2.6%,N/A,N/A,N/A,N/A,N/A,N/A,1.2%,54.6%,2.6%,56.1%,45.3%,45.4%,46.2%,23.8%,34.0%,50.8%,2.5%,51.4%,21.8%,26.6%,38.1%,79,64.3%,46.8%,2.52,12.9%,13.7%,3.7,42.6%,43.3%,55.9%,52.0%,52.5%,4.9%,3.8,-1.2,0.0%,-,4.7%,63.5%,13.0%,16.2%,12.3%,8.8%,19.5%,0.4%,50.0%,22,30
1,Isabelle Boulais,834,571,N/A,N/A,N/A,N/A,N/A,10.1%,19.2%,5.4%,3.2%,N/A,N/A,N/A,N/A,N/A,N/A,1.6%,51.4%,1.0%,53.4%,37.4%,38.2%,39.0%,18.8%,25.0%,38.5%,37.5%,62.5%,6.3%,18.8%,40.0%,-58,75.0%,41.7%,2.09,0.0%,0.0%,4.1,36.5%,42.9%,38.5%,50.0%,58.5%,60.6%,-1.7,-15.4,0.0%,-,11.1%,81.8%,8.7%,8.8%,0.0%,5.9%,0.0%,1.3%,50.0%,-48,-40
1,Samantha Murray,840,165,5.2%,10.1%,54.7%,59.2%,41.7%,12.1%,16.8%,7.1%,3.8%,96.5,,,83.3,,,3.0%,58.0%,2.5%,55.5%,46.2%,44.8%,18.2%,43.8%,43.8%,0.0%,0.0%,33.3%,7.1%,7.1%,30.8%,-61,54.7%,44.8%,2.45,0.0%,12.5%,2.7,31.3%,50.0%,0.0%,33.3%,51.1%,4.7%,3.5,-12.2,9.4%,33.3%,9.0%,50.0%,15.4%,21.4%,0.0%,3.6%,33.3%,2.3%,50.0%,32,66
1,Yana Morderger,890,361,0.0%,11.6%,53.5%,21.7%,20.0%,12.9%,20.2%,4.8%,8.2%,N/A,N/A,N/A,N/A,N/A,N/A,2.1%,52.2%,0.9%,50.4%,49.4%,49.3%,45.6%,26.8%,37.5%,43.9%,53.8%,10.0%,18.2%,21.2%,48.1%,55,61.1%,47.7%,2.39,2.4%,40.9%,3.1,47.3%,46.3%,53.3%,66.7%,45.3%,0.9%,5.2,5.2,0.0%,-,3.0%,80.0%,11.9%,5.3%,0.0%,22.7%,38.5%,0.0%,-,52,46
3,Alize Lim,891,135,1.2%,2.9%,69.6%,53.0%,36.4%,5.6%,10.3%,1.6%,2.8%,89.0,,,73.9,,,1.1%,53.9%,1.3%,54.2%,47.3%,47.4%,34.8%,19.4%,19.4%,34.5%,0.0%,53.8%,15.0%,20.0%,35.3%,-104,67.2%,46.7%,2.73,0.0%,25.0%,3.5,39.2%,42.9%,57.1%,33.3%,48.4%,8.5%,0.0,0.0,0.0%,-,3.3%,100.0%,5.9%,8.7%,0.0%,6.7%,14.3%,2.5%,0.0%,-108,-106
1,Valentina Ivanov,896,738,1.9%,7.8%,66.1%,62.2%,38.1%,8.3%,20.5%,7.1%,1.6%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,47.9%,1.1%,57.1%,45.8%,41.9%,43.3%,19.0%,24.1%,51.1%,46.7%,12.5%,13.0%,13.0%,25.0%,-7,77.6%,34.2%,2.60,2.1%,7.7%,5.5,50.9%,41.9%,36.4%,31.8%,55.6%,9.6%,3.8,-8.6,0.0%,-,3.0%,100.0%,8.3%,16.0%,25.0%,2.9%,12.5%,0.7%,0.0%,-96,-89
1,Alexa Noel,924,679,1.7%,3.4%,59.3%,54.3%,29.2%,12.6%,32.0%,8.2%,4.1%,97.7,109.0,99.8,80.4,87.0,83.0,0.5%,55.7%,1.1%,42.7%,50.8%,46.5%,42.6%,8.8%,20.6%,51.6%,10.0%,23.1%,0.0%,0.0%,30.4%,-119,77.3%,35.3%,2.35,0.0%,7.7%,6.6,34.4%,50.0%,21.1%,45.0%,50.3%,55.7%,-2.9,-7.5,5.2%,66.7%,15.5%,81.3%,6.2%,6.3%,4.5%,8.9%,23.1%,0.3%,0.0%,-28,-47
7,Paula Ormaechea,935,59,2.3%,4.4%,63.2%,58.9%,44.9%,15.3%,20.8%,5.1%,4.5%,86.6,,,77.6,,,1.0%,54.5%,1.1%,55.0%,45.5%,46.2%,43.9%,22.6%,27.8%,47.6%,6.7%,68.6%,16.9%,20.0%,37.0%,-34,79.7%,49.5%,2.34,5.8%,6.8%,4.8,50.2%,42.6%,49.2%,53.8%,48.7%,3.5%,-3.3,0.3,0.0%,-,7.8%,54.3%,6.9%,6.4%,0.0%,6.7%,21.2%,0.9%,0.0%,-41,-37
177,Petra Kvitova,952,2,5.9%,6.5%,62.1%,67.8%,48.6%,19.4%,21.1%,9.2%,5.3%,99.9,102.1,97.2,90.7,93.0,91.5,4.6%,59.7%,5.6%,62.1%,44.0%,44.8%,49.3%,32.5%,47.7%,51.7%,15.8%,58.9%,21.3%,31.8%,45.3%,86,66.1%,57.1%,2.40,18.2%,7.2%,3.3,50.4%,53.4%,51.7%,53.5%,54.1%,11.8%,7.5,5.2,1.5%,57.7%,8.4%,70.2%,19.3%,29.1%,13.9%,13.7%,22.7%,1.3%,38.0%,128,119
2,Darya Astakhova,953,181,N/A,N/A,N/A,N/A,N/A,14.9%,27.7%,6.2%,8.6%,N/A,N/A,N/A,N/A,N/A,N/A,0.6%,54.7%,0.7%,56.1%,56.2%,52.5%,45.2%,11.0%,17.8%,43.1%,9.1%,63.2%,6.7%,10.0%,50.0%,-55,72.0%,29.9%,2.42,6.2%,9.4%,5.2,40.0%,40.4%,28.2%,40.7%,49.0%,4.4%,-1.0,-4.2,0.0%,-,14.3%,62.1%,9.6%,15.5%,0.0%,3.5%,12.2%,1.3%,0.0%,-19,-39
12,Lesley Pattinama Kerkhove,991,135,1.9%,6.9%,62.7%,59.9%,42.0%,12.2%,21.5%,8.8%,3.6%,94.6,95.0,94.1,85.1,,93.0,2.5%,57.5%,1.6%,54.4%,44.2%,44.8%,45.3%,27.2%,37.3%,49.7%,11.5%,32.3%,20.5%,26.4%,36.1%,73,66.3%,53.8%,2.46,11.9%,9.7%,3.7,47.1%,48.4%,52.3%,46.3%,54.9%,4.5%,5.1,-0.4,0.2%,100.0%,6.8%,69.4%,14.3%,24.0%,12.5%,8.4%,27.7%,0.5%,53.8%,28,36
75,Eugenie Bouchard,995,5,3.4%,4.4%,59.9%,63.4%,46.8%,15.5%,19.4%,7.6%,5.0%,99.7,102.9,99.3,82.3,85.0,84.0,3.4%,56.9%,2.4%,56.1%,43.4%,45.4%,45.3%,27.4%,38.4%,49.4%,17.8%,47.9%,18.1%,26.0%,39.2%,26,72.7%,53.1%,2.36,11.2%,10.9%,3.8,50.9%,48.7%,47.4%,50.5%,51.9%,5.6%,5.7,2.2,0.0%,100.0%,7.6%,67.4%,15.5%,24.2%,14.7%,10.7%,28.0%,0.5%,20.9%,33,30
28,Christina Mchale,996,24,3.2%,4.7%,61.8%,62.4%,43.9%,12.9%,19.8%,6.6%,2.5%,98.5,104.8,96.4,78.1,84.3,80.4,3.1%,56.0%,1.8%,54.8%,43.1%,44.1%,46.1%,23.3%,32.0%,48.7%,38.7%,39.8%,11.8%,16.1%,41.8%,-1,74.8%,50.9%,2.50,12.5%,9.6%,4.8,46.8%,47.5%,47.3%,54.4%,56.6%,14.5%,2.4,-1.2,0.0%,-,6.8%,73.1%,10.2%,13.8%,9.1%,5.7%,20.1%,0.3%,15.8%,-32,-24
1,Basak Eraydin,1000,156,4.1%,6.0%,60.6%,56.6%,40.4%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.1%,54.9%,1.9%,53.3%,46.9%,47.9%,40.6%,38.9%,44.4%,45.5%,33.3%,0.0%,37.5%,37.5%,30.0%,181,82.6%,38.6%,2.68,9.1%,3.2%,3.5,44.3%,50.0%,38.9%,0.0%,44.7%,27.3%,5.0,-6.4,0.0%,-,5.5%,57.1%,17.0%,21.1%,66.7%,0.0%,0.0%,1.7%,33.3%,-56,11
2,Tara Moore,1012,145,3.1%,7.8%,58.6%,66.8%,41.3%,17.5%,20.3%,14.3%,3.2%,90.2,96.6,94.5,76.9,84.0,70.0,2.1%,55.0%,1.5%,53.9%,47.8%,47.4%,54.7%,18.3%,31.7%,57.1%,14.3%,57.1%,7.1%,17.9%,50.0%,-58,81.0%,52.0%,2.54,16.3%,0.0%,4.3,43.4%,49.1%,51.7%,80.0%,59.5%,39.9%,11.3,-8.3,0.0%,-,7.3%,87.5%,21.6%,33.9%,26.1%,2.9%,16.7%,0.7%,33.3%,112,94
2,Daniela Vismane,1017,228,0.0%,2.4%,71.1%,56.7%,45.9%,9.8%,15.4%,5.0%,5.8%,N/A,N/A,N/A,N/A,N/A,N/A,0.2%,53.0%,0.0%,51.0%,48.8%,44.6%,51.1%,10.4%,20.9%,53.4%,8.3%,65.2%,14.3%,17.1%,43.3%,-9,66.7%,36.4%,2.55,1.0%,13.6%,4.1,37.7%,48.7%,51.3%,35.7%,49.8%,13.5%,3.0,5.1,0.0%,-,4.2%,83.3%,10.6%,16.3%,25.0%,11.9%,25.0%,2.0%,44.4%,-35,-65
1,Polina Leykina,1035,184,0.6%,3.4%,57.5%,57.0%,39.2%,4.2%,13.4%,0.9%,3.5%,N/A,N/A,N/A,N/A,N/A,N/A,1.5%,53.3%,1.1%,51.0%,46.9%,46.8%,38.5%,20.5%,20.5%,41.9%,44.4%,41.2%,19.2%,19.2%,33.3%,-18,73.1%,42.1%,2.77,3.2%,17.4%,4.4,49.1%,24.2%,64.7%,25.0%,50.0%,5.8%,-8.7,5.0,0.0%,-,5.0%,33.3%,0.0%,0.0%,0.0%,4.3%,20.0%,1.0%,0.0%,-150,-133
24,Bethanie Mattek Sands,1078,30,2.9%,3.8%,59.2%,62.8%,46.1%,17.2%,19.3%,7.8%,4.2%,96.5,107.6,89.5,79.4,79.0,76.5,2.7%,57.0%,1.7%,55.0%,42.4%,43.9%,45.4%,22.7%,36.6%,46.3%,25.9%,39.4%,15.7%,21.5%,44.1%,2,72.9%,49.8%,2.43,9.1%,14.0%,3.9,47.9%,49.6%,48.3%,45.2%,49.6%,23.4%,1.2,1.8,8.9%,61.7%,20.5%,64.5%,12.4%,17.0%,4.4%,10.5%,21.6%,1.8%,36.7%,40,29
1,Valeria Bhunu,1144,497,N/A,N/A,N/A,N/A,N/A,13.1%,29.1%,8.0%,3.2%,N/A,N/A,N/A,N/A,N/A,N/A,0.9%,55.1%,0.9%,50.5%,46.3%,46.4%,45.9%,22.1%,28.6%,46.7%,14.3%,57.1%,10.7%,14.3%,44.0%,-25,80.4%,51.4%,2.27,50.0%,7.4%,4.8,48.5%,50.9%,40.7%,52.0%,50.8%,16.2%,1.5,4.8,0.0%,-,7.3%,73.3%,10.3%,18.2%,33.3%,9.7%,0.0%,0.5%,0.0%,6,20
2,Junri Namigata,1165,105,1.2%,7.3%,59.9%,55.7%,38.1%,10.7%,16.8%,1.7%,4.3%,94.0,,,78.7,,,1.2%,54.8%,1.2%,53.6%,46.2%,45.9%,58.0%,20.0%,31.4%,64.3%,30.8%,42.9%,18.5%,25.9%,50.0%,-21,79.3%,54.3%,2.55,7.4%,5.9%,4.6,60.0%,53.3%,33.3%,73.3%,45.3%,2.3%,-0.5,8.3,0.0%,-,4.9%,100.0%,4.4%,8.7%,0.0%,12.8%,39.1%,0.0%,-,-31,-42
33,Yanina Wickmayer,1223,12,3.7%,5.5%,64.0%,63.8%,45.6%,16.3%,19.2%,8.4%,4.5%,99.0,102.1,94.8,85.1,86.5,84.1,3.2%,57.8%,2.6%,56.4%,41.8%,42.8%,47.6%,20.7%,29.9%,51.1%,6.9%,53.9%,9.3%,15.4%,41.5%,-26,72.4%,51.5%,2.49,12.7%,11.4%,4.2,47.0%,50.0%,53.0%,46.1%,53.4%,8.0%,5.4,1.1,0.2%,100.0%,7.7%,66.5%,14.4%,23.4%,11.5%,10.0%,27.6%,0.7%,24.0%,48,35
6,Bibiane Schoofs,1224,142,1.5%,7.6%,65.9%,52.7%,38.7%,10.3%,30.4%,8.8%,1.4%,N/A,N/A,N/A,N/A,N/A,N/A,0.9%,53.8%,1.2%,55.2%,47.7%,47.7%,45.3%,15.8%,22.0%,47.8%,15.1%,49.3%,12.9%,19.4%,39.8%,0,75.3%,49.5%,2.30,2.7%,4.6%,4.7,46.1%,44.9%,47.9%,42.4%,54.8%,32.0%,0.1,-0.6,0.2%,0.0%,10.4%,61.6%,11.6%,17.2%,10.0%,4.3%,26.5%,1.6%,22.2%,2,5
3,Ulrikke Eikeri,1324,206,1.9%,4.6%,60.1%,54.2%,42.1%,10.3%,16.0%,5.2%,4.6%,N/A,N/A,N/A,N/A,N/A,N/A,0.4%,52.8%,0.5%,53.1%,50.7%,52.0%,40.9%,13.9%,22.6%,45.5%,28.1%,26.2%,12.2%,17.6%,33.8%,-42,71.8%,42.9%,2.43,8.2%,13.2%,4.8,45.3%,40.7%,46.7%,24.3%,45.9%,3.4%,-3.3,-3.6,1.6%,100.0%,17.8%,58.1%,6.6%,7.5%,0.0%,4.1%,7.4%,0.5%,33.3%,-89,-88
1,Reka Luca Jani,1325,104,1.0%,5.7%,69.6%,55.5%,41.0%,12.6%,22.7%,4.9%,7.6%,92.4,,,77.1,,,0.7%,53.6%,0.7%,51.6%,48.5%,49.6%,57.6%,38.9%,47.2%,54.5%,18.2%,57.1%,38.9%,38.9%,63.6%,115,70.0%,57.1%,2.46,0.0%,3.7%,3.7,55.9%,58.6%,60.0%,50.0%,38.9%,15.5%,6.6,3.9,1.8%,100.0%,4.2%,100.0%,11.3%,29.4%,0.0%,6.7%,36.4%,2.8%,60.0%,-65,-18
24,Margarita Gasparyan,1359,41,3.9%,5.7%,62.2%,62.2%,42.9%,14.1%,19.1%,7.2%,3.9%,99.3,101.5,96.4,79.3,80.4,81.0,2.5%,56.6%,3.2%,54.1%,43.1%,44.1%,46.1%,27.4%,38.7%,48.8%,29.6%,19.3%,12.9%,17.6%,41.6%,6,73.4%,51.1%,2.53,16.1%,10.9%,4.3,49.5%,48.0%,45.5%,49.1%,47.8%,23.9%,4.9,2.0,0.4%,71.4%,7.3%,64.5%,11.6%,19.6%,19.4%,8.9%,18.8%,0.5%,32.3%,-26,-11
1,Eri Hozumi,1398,144,2.1%,2.8%,64.2%,59.3%,44.9%,13.0%,25.7%,9.6%,2.9%,N/A,N/A,N/A,N/A,N/A,N/A,2.1%,55.3%,1.0%,54.6%,46.2%,47.5%,43.2%,11.9%,20.9%,45.8%,0.0%,58.3%,24.1%,34.5%,36.4%,42,83.5%,61.8%,2.37,0.0%,3.2%,5.0,49.4%,51.0%,46.4%,59.3%,59.8%,1.7%,5.8,-3.5,0.0%,-,2.6%,80.0%,14.8%,24.6%,0.0%,4.5%,29.4%,0.5%,0.0%,28,18
31,Vera Zvonareva,1398,2,3.3%,5.6%,61.8%,65.8%,46.3%,12.8%,18.0%,4.7%,4.3%,98.3,97.0,92.4,84.8,84.8,78.4,2.8%,58.3%,1.3%,55.7%,43.8%,44.3%,48.4%,21.6%,32.2%,50.8%,30.3%,26.9%,15.1%,18.0%,43.5%,30,77.3%,46.3%,2.40,12.6%,7.2%,4.7,47.4%,45.9%,50.4%,47.2%,50.3%,9.9%,1.1,0.4,0.3%,83.3%,8.8%,75.1%,7.9%,13.1%,50.0%,7.1%,14.5%,0.9%,29.6%,-60,-51
2,Daniela Seguel,1404,162,0.6%,2.9%,72.9%,55.7%,44.1%,7.4%,21.7%,6.2%,1.4%,N/A,N/A,N/A,N/A,N/A,N/A,0.6%,55.0%,0.4%,54.2%,49.2%,48.7%,41.0%,15.8%,21.1%,41.3%,30.0%,81.8%,4.8%,4.8%,40.0%,-66,80.4%,41.9%,2.64,0.0%,3.7%,5.2,52.6%,45.9%,36.1%,39.4%,63.2%,24.1%,-1.0,-7.6,0.0%,-,4.0%,66.7%,6.7%,6.3%,12.8%,1.2%,0.0%,1.0%,20.0%,-84,-79
