Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
,Paul Henri Mathieu,FRA,1,167,64.3%,7.1%,2,2.1%,2,2.1%,62.1%,62.7%,47.2%,56.8%,15,66.7%,23.6%,2,50.0%,42.5%,0.55,1:50
16,Mariano Puerta,ARG,1,149,41.7%,8.3%,2,2.4%,1,1.2%,73.2%,48.3%,45.5%,47.6%,17,58.8%,28.4%,2,50.0%,38.9%,0.54,1:31
LL,Paul Goldstein,USA,1,194,61.5%,0.0%,2,1.7%,3,2.5%,45.4%,66.7%,41.5%,52.9%,14,64.3%,25.3%,3,0.0%,42.3%,0.54,1:59
,Bohdan Ulihrach,CZE,1,150,58.3%,0.0%,2,2.9%,5,7.1%,70.0%,57.1%,42.9%,52.9%,7,28.6%,25.0%,4,0.0%,38.0%,0.53,1:26
Q,Andreas Seppi,ITA,1,158,50.0%,0.0%,3,3.3%,0,0.0%,52.7%,60.4%,37.2%,49.5%,18,66.7%,26.9%,0,-,39.9%,0.53,1:37
Q,George Bastl,SUI,1,148,61.5%,0.0%,3,3.8%,3,3.8%,65.8%,69.2%,29.6%,55.7%,12,58.3%,23.2%,0,-,40.5%,0.52,1:40
,Vincent Spadea,USA,1,155,53.8%,0.0%,3,3.4%,4,4.5%,65.2%,60.3%,35.5%,51.7%,12,50.0%,24.2%,1,0.0%,40.0%,0.50,1:31
19,Tommy Haas,GER,1,76,50.0%,0.0%,3,6.4%,5,10.6%,55.3%,73.1%,23.8%,51.1%,6,50.0%,24.1%,0,-,40.8%,0.49,0:37
,Jiri Vanek,CZE,1,153,57.1%,7.7%,6,7.1%,8,9.4%,57.6%,69.4%,33.3%,54.1%,11,45.5%,20.6%,1,100.0%,39.2%,0.45,1:23
,Tomas Behrend,GER,1,151,45.5%,0.0%,0,0.0%,3,3.4%,78.4%,53.6%,31.6%,48.9%,14,57.1%,22.2%,0,-,37.7%,0.43,1:19
,Rainer Schuettler,GER,1,152,71.4%,0.0%,0,0.0%,1,1.2%,69.0%,65.5%,53.8%,61.9%,6,33.3%,16.2%,2,0.0%,41.4%,0.42,1:30
,All Main Draw Players,,127.0,,82.2%,17.8%,,9.3%,,3.8%,62.0%,73.7%,51.3%,65.2%,,63.3%,34.8%,,36.7%,50.0%,1.00,
