Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
R64,261,(WC)Paul Henri Mathieu[FRA] [yr|ev],d.,11,(10)John Isner[USA] [yr|ev],6-7(2) 6-4 6-4 3-6 18-16,1.30,3.0%,65.2%,75.6%,71.4%,2/4,16.5%,74.3%,70.8%,53.1%,20/24,5:41,12
R64,112,(Q)Tommy Haas[GER] [yr|ev],d.,83,Sergiy Stakhovsky[UKR] [yr|ev],6-2 6-3 6-2,1.66,7.5%,62.7%,69.0%,60.0%,4/7,2.2%,62.6%,50.9%,29.4%,11/19,1:56,2
R64,20,(17)Richard Gasquet[FRA] [yr|ev],d.,87,Grigor Dimitrov[BUL] [yr|ev],5-7 7-5 6-2 6-3,1.26,8.1%,60.5%,70.7%,57.1%,8/12,2.0%,65.6%,58.6%,51.9%,16/23,3:26,7
R64,50,Santiago Giraldo[COL] [yr|ev],d.,29,(25)Bernard Tomic[AUS] [yr|ev],6-4 6-1 6-3,1.45,0.0%,80.2%,75.4%,29.4%,10/11,6.5%,63.0%,58.6%,38.2%,7/13,1:45,28
R64,4,(4)Andy Murray[GBR] [yr|ev],d.,48,Jarkko Nieminen[FIN] [yr|ev],1-6 6-4 6-1 6-2,1.27,0.0%,77.8%,65.5%,45.8%,8/12,0.0%,60.0%,57.1%,40.5%,8/15,2:27,1
R64,8,(8)Janko Tipsarevic[SRB] [yr|ev],d.,55,Jeremy Chardy[FRA] [yr|ev],7-6(4) 6-1 7-5,1.36,11.2%,55.1%,78.0%,56.3%,2/4,3.5%,42.5%,66.7%,49.2%,4/9,2:34,8
R64,31,(29)Julien Benneteau[FRA] [yr|ev],d.,88,Dmitry Tursunov[RUS] [yr|ev],6-4 6-4 6-4,1.36,10.9%,76.1%,78.6%,59.1%,3/3,8.9%,58.9%,79.2%,43.2%,2/5,1:58,25
R64,62,Leonardo Mayer[ARG] [yr|ev],d.,26,(24)Philipp Kohlschreiber[GER] [yr|ev],7-6(5) 7-6(4) 7-5,1.13,12.7%,65.9%,80.7%,53.5%,13/14,3.3%,56.2%,70.6%,64.2%,6/8,3:07,21
R64,13,(12)Nicolas Almagro[ESP] [yr|ev],d.,42,Marcos Baghdatis[CYP] [yr|ev],6-4 6-3 7-5,1.22,6.0%,52.6%,75.4%,50.9%,4/6,3.5%,53.0%,62.3%,48.1%,11/16,2:38,9
R64,15,(13)Juan Monaco[ARG] [yr|ev],d.,79,Lukas Rosol[CZE] [yr|ev],7-6(4) 6-0 7-6(5),2.35,1.1%,81.6%,83.1%,87.5%,0/0,8.1%,55.0%,75.4%,46.0%,2/5,2:10,10
R64,22,(19)Milos Raonic[CAN] [yr|ev],d.,131,(Q)Jesse Levine[CAN] [yr|ev],6-4 7-5 6-2,1.63,20.0%,55.0%,88.6%,55.6%,2/3,4.5%,62.9%,55.4%,60.6%,5/10,1:56,3
R64,192,(Q)Eduardo Schwank[ARG] [yr|ev],d.,35,(32)Florian Mayer[GER] [yr|ev],2-6 6-3 6-4 7-6(4),0.96,5.2%,57.8%,64.2%,65.3%,2/6,4.5%,60.7%,75.0%,52.3%,4/9,2:30,48
R64,2,(2)Rafael Nadal[ESP] [yr|ev],d.,43,Denis Istomin[UZB] [yr|ev],6-2 6-2 6-0,2.26,0.0%,68.8%,77.3%,70.0%,2/2,6.5%,66.1%,53.7%,23.8%,8/15,1:50,1
R128,1,(1)Novak Djokovic[SRB] [yr|ev],d.,97,Potito Starace[ITA] [yr|ev],7-6(3) 6-3 6-1,2.02,7.6%,77.2%,82.0%,66.7%,0/0,3.8%,74.5%,59.5%,48.1%,11/15,2:04,1
R128,99,Blaz Kavcic[SLO] [yr|ev],d.,176,(WC)Lleyton Hewitt[AUS] [yr|ev],7-6(2) 6-3 6-7(4) 6-3,1.22,7.9%,62.9%,65.9%,61.5%,6/10,8.3%,55.2%,62.5%,49.2%,3/9,3:50,68
R128,286,(Q)Nicolas Devilder[FRA] [yr|ev],d.,630,(Q)Filip Krajinovic[SRB] [yr|ev],6-2 6-2 6-0,1.96,2.9%,51.4%,66.7%,61.8%,3/6,0.0%,63.3%,42.1%,9.1%,3/13,1:36,60
R128,114,(Q)Michael Berrer[GER] [yr|ev],d.,32,(30)Jurgen Melzer[AUT] [yr|ev],6-7(5) 4-6 6-2 6-2 6-3,1.18,8.9%,61.9%,67.3%,53.1%,7/12,1.9%,55.2%,65.9%,42.0%,9/18,3:42,42
R128,25,(22)Andreas Seppi[ITA] [yr|ev],d.,47,Nikolay Davydenko[RUS] [yr|ev],6-3 7-6(5) 7-5,1.47,13.5%,62.5%,78.3%,58.3%,1/3,1.6%,71.8%,58.4%,54.3%,3/8,2:26,18
R128,53,Mikhail Kukushkin[KAZ] [yr|ev],d.,93,Ernests Gulbis[LAT] [yr|ev],6-4 7-6(4) 5-7 2-6 6-4,0.95,0.6%,59.5%,60.6%,59.4%,5/13,12.4%,60.8%,72.0%,46.7%,7/14,3:46,39
R128,54,Gilles Muller[LUX] [yr|ev],d.,122,(Q)Igor Sijsling[NED] [yr|ev],2-6 7-5 3-6 6-4 8-6,0.92,13.2%,53.4%,75.3%,51.9%,14/19,7.0%,60.8%,77.1%,51.6%,10/14,3:37,21
R128,16,(14)Fernando Verdasco[ESP] [yr|ev],d.,61,Steve Darcis[BEL] [yr|ev],6-3 6-2 7-6(4),1.61,8.6%,63.0%,76.5%,66.7%,2/4,6.4%,67.0%,66.7%,35.5%,7/12,2:13,7
R128,12,(11)Gilles Simon[FRA] [yr|ev],d.,56,Ryan Harrison[USA] [yr|ev],3-6 7-5 6-4 6-1,1.14,3.8%,56.5%,71.6%,47.4%,5/9,4.7%,55.7%,62.7%,46.8%,2/9,2:47,6
R128,141,(WC)Brian Baker[USA] [yr|ev],d.,77,Xavier Malisse[BEL] [yr|ev],6-3 7-6(1) 7-6(5),1.22,8.3%,57.8%,76.2%,56.5%,3/6,11.4%,52.4%,69.1%,52.0%,3/7,2:13,52
R128,36,Pablo Andujar[ESP] [yr|ev],d.,146,Victor Hanescu[ROU] [yr|ev],6-1 2-6 1-6 6-3 6-1,1.19,1.7%,55.1%,67.7%,52.8%,7/12,4.7%,69.0%,57.3%,45.0%,11/18,3:03,32
R128,21,(18)Stan Wawrinka[SUI] [yr|ev],d.,75,Flavio Cipolla[ITA] [yr|ev],6-3 6-3 4-6 3-6 6-2,1.22,3.0%,61.4%,71.6%,47.1%,3/9,1.3%,65.1%,64.6%,34.0%,10/18,3:19,3
R128,28,(28)Viktor Troicki[SRB] [yr|ev],d.,66,Thomaz Bellucci[BRA] [yr|ev],4-6 6-3 5-7 6-3 6-2,1.16,9.4%,61.6%,70.4%,42.6%,16/23,1.3%,52.5%,61.9%,43.4%,11/21,3:50,12
R128,45,Fabio Fognini[ITA] [yr|ev],d.,153,(WC)Adrian Mannarino[FRA] [yr|ev],6-0 7-5 6-1,1.75,1.3%,70.7%,71.7%,68.2%,4/5,0.0%,55.1%,55.8%,40.0%,6/13,1:43,9
R128,91,Cedrik Marcel Stebe[GER] [yr|ev],d.,118,Joao Souza[BRA] [yr|ev],6-3 2-0 RET,1.58,5.3%,65.8%,68.0%,69.2%,0/0,5.0%,80.0%,53.1%,37.5%,3/5,1:01,71
R128,5,(5)Jo-Wilfried Tsonga[FRA] [yr|ev],d.,160,(Q)Andrey Kuznetsov[RUS] [yr|ev],1-6 6-3 6-2 6-4,1.30,10.0%,63.0%,76.2%,59.5%,4/6,6.4%,59.1%,72.3%,44.4%,14/18,2:18,5
R128,3,(3)Roger Federer[SUI] [yr|ev],d.,78,Tobias Kamke[GER] [yr|ev],6-2 7-5 6-3,1.33,6.9%,59.4%,66.7%,51.2%,4/7,2.1%,59.8%,62.1%,25.6%,8/16,1:57,1
R128,92,Adrian Ungur[ROU] [yr|ev],d.,40,David Nalbandian[ARG] [yr|ev],6-3 5-7 6-4 7-5,0.97,3.5%,67.6%,79.2%,47.8%,10/11,8.0%,61.9%,71.4%,67.4%,3/6,2:59,79
R128,70,Martin Klizan[SVK] [yr|ev],d.,120,Frank Dancevic[CAN] [yr|ev],4-0 RET,6.00,22.2%,66.7%,100.0%,66.7%,0/0,0.0%,66.7%,40.0%,20.0%,1/3,0:17,24
R128,89,Nicolas Mahut[FRA] [yr|ev],d.,33,(26)Andy Roddick[USA] [yr|ev],6-3 6-3 4-6 6-2,1.13,12.1%,54.2%,70.7%,57.1%,7/10,8.2%,60.8%,69.5%,44.7%,0/7,2:22,37
R128,109,(LL)David Goffin[BEL] [yr|ev],d.,27,(23)Radek Stepanek[CZE] [yr|ev],6-2 4-6 2-6 6-4 6-2,1.21,9.0%,47.4%,76.2%,47.1%,7/14,4.1%,58.6%,56.6%,47.1%,21/30,3:44,7
R128,139,(WC)Arnaud Clement[FRA] [yr|ev],d.,46,Alex Bogomolov Jr[RUS] [yr|ev],6-2 3-6 4-6 7-6(2) 5-4 RET,1.11,11.0%,56.4%,82.6%,42.3%,2/7,4.0%,73.1%,65.6%,48.9%,14/18,4:19,10
R128,49,Lukasz Kubot[POL] [yr|ev],d.,104,Karol Beck[SVK] [yr|ev],7-5 6-2 7-5,1.21,2.7%,69.6%,65.4%,55.9%,13/16,5.1%,55.6%,67.3%,38.6%,6/13,3:04,41
R128,156,(Q)Florent Serra[FRA] [yr|ev],d.,17,(15)Feliciano Lopez[ESP] [yr|ev],5-0 RET,3.09,17.6%,52.9%,77.8%,75.0%,0/0,9.1%,54.5%,33.3%,20.0%,1/3,0:18,36
R128,9,(9)Juan Martin del Potro[ARG] [yr|ev],d.,65,Albert Montanes[ESP] [yr|ev],6-2 6-7(5) 6-2 6-1,1.33,2.9%,59.1%,74.1%,53.6%,11/12,2.6%,62.3%,57.7%,48.8%,4/11,3:10,3
R128,82,Edouard Roger-Vasselin[FRA] [yr|ev],d.,101,Vasek Pospisil[CAN] [yr|ev],3-6 6-3 6-2 6-2,1.26,4.2%,65.0%,64.1%,61.9%,7/10,8.7%,60.6%,58.7%,46.3%,4/11,2:29,N/A
R128,41,Juan Carlos Ferrero[ESP] [yr|ev],d.,158,(WC)Jonathan Dasnieres De Veigy[FRA] [yr|ev],6-1 6-4 6-3,1.51,8.8%,52.9%,77.8%,53.1%,0/2,5.6%,62.0%,50.7%,46.3%,14/21,2:09,1
R128,24,(21)Marin Cilic[CRO] [yr|ev],d.,130,(Q)Daniel Munoz de la Nava[ESP] [yr|ev],6-4 6-4 7-5,1.35,11.1%,56.7%,70.6%,56.4%,6/10,1.0%,55.2%,58.5%,44.2%,6/13,2:24,3
R128,34,(31)Kevin Anderson[RSA] [yr|ev],d.,80,Rui Machado[POR] [yr|ev],7-6(2) 6-7(6) 4-6 6-1 11-9,1.19,13.1%,67.2%,71.4%,56.9%,11/15,1.4%,69.5%,61.6%,57.8%,10/16,4:50,5
R128,108,(Q)Horacio Zeballos[ARG] [yr|ev],d.,115,(WC)Eric Prodon[FRA] [yr|ev],6-7(8) 6-3 6-3 6-2,1.64,12.9%,65.5%,84.2%,55.0%,3/4,1.4%,56.2%,67.1%,45.3%,12/18,2:56,39
R128,57,Michael Llodra[FRA] [yr|ev],d.,72,Guillermo Garcia Lopez[ESP] [yr|ev],7-6(5) 6-2 3-6 6-3,1.33,10.3%,61.5%,79.2%,57.8%,4/5,5.4%,45.6%,76.1%,48.8%,12/15,2:56,21
R128,7,(7)Tomas Berdych[CZE] [yr|ev],d.,95,Dudi Sela[ISR] [yr|ev],6-3 6-4 6-1,1.48,6.6%,57.1%,75.0%,56.4%,7/8,1.4%,56.8%,52.4%,50.0%,4/10,1:58,4
R128,6,(6)David Ferrer[ESP] [yr|ev],d.,64,Lukas Lacko[SVK] [yr|ev],6-3 6-4 6-1,2.13,2.9%,52.2%,88.9%,63.6%,1/2,0.0%,50.6%,55.6%,45.5%,6/12,1:58,3
R128,69,Benoit Paire[FRA] [yr|ev],d.,38,Albert Ramos[ESP] [yr|ev],7-6(3) 6-4 6-7(5) 6-3,1.12,3.2%,44.9%,71.4%,47.7%,10/18,2.9%,59.0%,57.3%,47.4%,7/17,3:30,18
R128,39,Robin Haase[NED] [yr|ev],d.,73,Ivan Dodig[CRO] [yr|ev],6-2 6-2 6-1,2.21,12.1%,58.6%,94.1%,50.0%,0/0,7.8%,67.8%,55.7%,27.6%,11/18,1:37,33
R128,30,(27)Mikhail Youzhny[RUS] [yr|ev],d.,96,James Blake[USA] [yr|ev],6-2 6-1 6-2,2.01,12.1%,56.1%,81.1%,65.5%,1/1,1.2%,58.8%,58.0%,34.3%,9/15,1:26,8
