Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
,Pablo Andujar,ESP,1,174,38.5%,23.1%,3,3.2%,9,9.5%,57.9%,56.4%,35.0%,47.4%,19,57.9%,38.0%,5,60.0%,43.1%,0.72,1:44
Q,Bjorn Phau,GER,1,239,87.5%,5.9%,6,4.5%,4,3.0%,50.8%,73.1%,46.2%,59.8%,13,84.6%,28.0%,3,33.3%,45.6%,0.70,2:59
Q,Jan Minar,CZE,1,194,64.3%,6.7%,0,0.0%,6,6.1%,60.6%,65.0%,43.6%,56.6%,12,58.3%,30.5%,6,16.7%,43.8%,0.70,1:59
WC,Laurent Recouderc,FRA,1,223,66.7%,11.1%,5,4.2%,6,5.0%,60.0%,68.1%,39.6%,56.7%,14,57.1%,30.1%,6,33.3%,44.4%,0.69,2:16
,Sergio Roitman,ARG,1,158,58.3%,0.0%,3,4.1%,2,2.7%,67.1%,59.2%,45.8%,54.8%,12,58.3%,30.6%,2,0.0%,41.8%,0.68,1:34
WC,Scoville Jenkins,USA,1,193,60.0%,13.3%,9,8.8%,6,5.9%,56.9%,67.2%,36.4%,53.9%,14,57.1%,30.8%,10,20.0%,43.0%,0.67,2:05
,Dudi Sela,ISR,1,166,57.1%,7.7%,1,1.2%,4,4.7%,64.0%,61.8%,35.5%,52.3%,10,40.0%,31.3%,6,16.7%,42.2%,0.66,2:02
,Arnaud Clement,FRA,1,169,71.4%,0.0%,6,7.1%,3,3.6%,57.1%,64.6%,55.6%,60.7%,7,42.9%,25.9%,4,0.0%,43.2%,0.66,2:00
20,Nicolas Kiefer,GER,1,200,62.5%,12.5%,6,5.4%,6,5.4%,45.9%,64.7%,43.3%,53.2%,12,50.0%,30.3%,9,22.2%,43.0%,0.65,2:24
,Marcel Granollers,ESP,1,223,73.7%,10.0%,7,5.8%,5,4.1%,55.4%,74.6%,42.6%,60.3%,12,58.3%,25.5%,3,66.7%,44.4%,0.64,2:34
,Mischa Zverev,GER,1,172,57.1%,7.7%,3,3.3%,5,5.6%,52.2%,61.7%,46.5%,54.4%,11,45.5%,28.0%,6,16.7%,41.9%,0.62,1:43
,Michael Berrer,GER,1,164,61.5%,0.0%,7,8.2%,10,11.8%,43.5%,73.0%,41.7%,55.3%,13,61.5%,27.8%,1,0.0%,42.1%,0.62,1:56
WC,Jesse Levine,CAN,1,289,95.2%,4.8%,19,11.2%,8,4.7%,68.6%,70.7%,54.7%,65.7%,16,93.8%,20.8%,3,33.3%,47.1%,0.61,2:44
,Maximo Gonzalez,ARG,1,151,41.7%,8.3%,1,1.3%,3,4.0%,66.7%,56.0%,32.0%,48.0%,13,46.2%,31.6%,7,14.3%,39.7%,0.61,1:22
Q,Pablo Cuevas,URU,1,157,57.1%,7.7%,4,4.8%,2,2.4%,55.4%,58.7%,48.6%,54.2%,7,14.3%,27.0%,4,25.0%,41.4%,0.59,1:34
,Rainer Schuettler,GER,1,127,50.0%,10.0%,1,1.6%,4,6.3%,65.6%,66.7%,45.5%,59.4%,10,50.0%,23.8%,3,33.3%,41.7%,0.59,1:20
,Igor Kunitsyn,RUS,1,157,61.5%,0.0%,1,1.3%,1,1.3%,71.3%,56.1%,56.5%,56.3%,9,44.4%,26.0%,5,0.0%,41.4%,0.59,1:36
22,Tomas Berdych,CZE,1,146,41.7%,8.3%,5,6.2%,3,3.7%,54.3%,52.3%,45.9%,49.4%,13,46.2%,27.7%,3,33.3%,39.7%,0.55,1:27
,Potito Starace,ITA,1,173,64.3%,0.0%,2,2.1%,3,3.2%,69.1%,55.4%,58.6%,56.4%,11,54.5%,24.1%,1,0.0%,41.6%,0.55,1:48
WC,Carsten Ball,AUS,1,164,58.3%,0.0%,10,11.2%,6,6.7%,57.3%,64.7%,39.5%,53.9%,11,54.5%,24.0%,2,0.0%,40.2%,0.52,1:31
,Martin Vassallo Arguello,ARG,1,161,64.3%,7.1%,2,2.3%,5,5.8%,62.8%,63.0%,40.6%,54.7%,8,37.5%,22.7%,1,100.0%,39.8%,0.50,2:11
WC,Brendan Evans,USA,1,156,64.3%,0.0%,9,10.5%,3,3.5%,65.1%,69.6%,33.3%,57.0%,11,54.5%,21.4%,1,0.0%,41.0%,0.50,1:31
,Luis Horna,PER,1,150,53.8%,0.0%,5,6.0%,5,6.0%,57.1%,62.5%,41.7%,53.6%,11,45.5%,22.7%,0,-,40.0%,0.49,1:37
,Marcos Daniel,BRA,1,152,58.3%,0.0%,7,8.8%,2,2.5%,51.2%,63.4%,43.6%,53.8%,9,44.4%,22.2%,2,0.0%,38.8%,0.48,1:40
LL,Aisam Ul Haq Qureshi,PAK,1,248,85.7%,0.0%,33,24.1%,4,2.9%,60.6%,80.7%,42.6%,65.7%,6,50.0%,15.3%,0,-,43.1%,0.45,2:45
,Fabrice Santoro,FRA,1,134,50.0%,0.0%,7,9.5%,2,2.7%,54.1%,65.0%,41.2%,54.1%,9,33.3%,18.3%,0,-,38.1%,0.40,1:27
WC,Austin Krajicek,USA,1,134,41.7%,0.0%,5,6.4%,9,11.5%,62.8%,53.1%,27.6%,43.6%,9,22.2%,21.4%,0,-,34.3%,0.38,1:18
,Janko Tipsarevic,SRB,1,47,40.0%,0.0%,2,7.4%,3,11.1%,63.0%,58.8%,20.0%,44.4%,4,25.0%,20.0%,0,-,34.0%,0.36,0:32
,All Main Draw Players,,127.0,,79.8%,20.2%,,8.6%,,3.9%,60.5%,71.8%,51.7%,63.9%,,61.1%,36.1%,,38.9%,50.0%,1.00,
